"Manager","Report Date","Value ($000)","Shares","Option Type"
"LEE DANNER & BASS INC","12/31/2021","57,513","116,866",""
"Mraz, Amerine & Associates, Inc.","12/31/2021","15,119","30,718",""
"CAPTRUST FINANCIAL ADVISORS","12/31/2021","1,312","2,666",""
"Front Street Capital Management, Inc.","12/31/2021","713","1,767",""
"Crescent Capital Consulting, LLC","12/31/2021","525","1,066",""
"Cadence Bank","12/31/2021","492","1,000",""
"LOUNTZIS ASSET MANAGEMENT, LLC","12/31/2021","363","738",""
"EQUITABLE TRUST CO","12/31/2021","255","518",""
"Freedman Financial Associates, Inc.","12/31/2021","10","21",""
"Tradition Wealth Management, LLC","12/31/2021","4","8",""